symbol,atomic_mass,melting_point,boiling_point,liquid_range
H,1.00794,13.81,20.28,6.47
He,4.002602,-38.83,4.216,42.05
Li,6.941,180.5,1342,1161.5
Be,9.012182,1287,2471,1184
B,10.811,2300,2550,250
C,12.011,,3652,
N,14.00674,,63.15,77.35
O,15.9994,,54.36,90.20
F,18.9984032,-219.62,85.03,304.65
Ne,20.1797,-248.59,27.07,27.95
Na,22.989768,97.72,883,785.28
Mg,24.305,650,1090,440
Al,26.981539,660.323,2519,1858.677
Si,28.0855,1412,3270,1858
P,30.973762,44.1,280,235.9
S,32.066,119,444.674,331.874
Cl,35.453,,171.6,239.05
Ar,39.948,-189.35,87.30,87.45
K,39.0983,63.38,759,695.62
Ca,40.078,842,1484,642
Sc,44.95591,1541,2836,1295
Ti,47.88,1668,3287,1619
V,50.9415,1910,3407,1497
Cr,51.9961,1907,2671,764
Mn,54.93805,1246,2061,815
Fe,55.847,1538,2861,1323
Co,58.9332,1495,2927,1432
Ni,58.6934,1455,2913,1458
Cu,63.546,1084.62,2562,1477.38
Zn,65.39,419.527,907,487.473
Ga,69.723,29.7646,2204,2174.2354
Ge,72.61,937,2830,1893
As,74.92159,817,613,
Se,78.96,220.5,685,464.5
Br,79.904,,265.8,332.00
Kr,83.80,-157.37,119.93,119.79
Rb,85.4678,39.3,688,648.7
Sr,87.62,777,1382,605
Y,88.90585,1522,3345,1823
Zr,91.224,1855,4409,2554
Nb,92.90638,2477,4744,2267
Mo,95.94,2623,4639,2016
Tc,98.9063,2170,,
Ru,101.07,2334,4150,1816
Rh,102.9055,1964,3695,1731
Pd,106.42,1554.9,2963,1408.1
Ag,107.8682,961.78,2162,1200.22
Cd,112.411,321.069,767,445.931
In,114.818,156.5985,2072,1915.4015
Sn,118.71,231.928,2602,2370.072
Sb,121.757,630.63,1587,956.37
Te,127.6,450,988,538
I,126.90447,113.7,457.4,343.70
Xe,131.29,-111.8,165.03,161.40
Cs,132.90543,28.44,671,642.56
Ba,137.327,727,1897,1170
La,138.9055,918,3464,2546
Ce,140.115,798,3433,2635
Pr,140.90765,931,3520,2589
Nd,144.24,1021,3074,2053
Pm,146.9151,1170,2460,1290
Sm,150.36,1074,1794,720
Eu,151.965,822,1527,705
Gd,157.25,1313,3273,1960
Tb,158.92534,1356,3230,1874
Dy,162.5,1412,2567,1155
Ho,164.93032,1474,2700,1226
Er,167.26,1529,2868,1339
Tm,168.93421,1545,1950,405
Yb,173.04,819,1196,377
Lu,174.967,1663,3402,1739
Hf,178.49,2233,4603,2370
Ta,180.9479,3017,5458,2441
W,183.84,3422,5555,2133
Re,186.207,3186,5596,2410
Os,190.23,3033,5012,1979
Ir,192.22,2446,4428,1982
Pt,195.08,1768.4,3825,2056.6
Au,196.96654,1064.18,2856,1791.82
Hg,200.59,-38.83,356.73,395.56
Tl,204.3833,304,1473,1169
Pb,207.2,327.462,1749,1421.538
Bi,208.98037,271.4,1564,1292.6
Po,208.9824,254,962,708
At,209.9871,302,337,35
Rn,222.0171,-71,211.3,282.30
Fr,223.0197,27,677,650
Ra,226.0254,700,1140,440
Ac,227.0278,1050,3200,2150
Th,232.0381,1750,4788,3038
Pa,231.0358,1840,,
U,238.0289,1135,4131,2996
Np,237.0482,630,,
Pu,244.0642,640,3228,2588
Am,243.0614,994,2607,1613
Cm,247.0513,1340,,
Bk,247.0703,986,,
Cf,251.0812,900,,
Es,252.0826,860,,
Fm,257.0950,1527,,
Md,258.0984,827,,
No,259.1009,827,,
Lr,262.110,1627,,
Rf,267.122,,
Db,268.126,,,,
Sg,269.128,,,,
Bh,270.133,,,,
Hs,277.154,,,,
Mt,278.159,,,,
Ds,281.177,,,,
Rg,282.184,,,,
Cn,285.209,,,,
Nh,286.216,,,,
Fl,289.219,,,,
Mc,290.248,,,,
Lv,293.258,,,,
Ts,294.278,,,,
Og,294.294,,,,
