symbol_id,atomic_mass,melting_point,boiling_point,liquid_range
3,6.941,180.5,1342,1161.5
4,9.012182,1287,2471,1184
5,10.811,2300,2550,250
6,12.011,,3652,
11,22.989768,97.72,883,785.28
12,24.305,650,1090,440
13,26.981539,660.323,2519,1858.677
14,28.0855,1412,3270,1858
15,30.973762,44.1,280,235.9
16,32.066,119,444.674,331.874
19,39.0983,63.38,759,695.62
20,40.078,842,1484,642
21,44.95591,1541,2836,1295
22,47.88,1668,3287,1619
23,50.9415,1910,3407,1497
24,51.9961,1907,2671,764
25,54.93805,1246,2061,815
26,55.847,1538,2861,1323
27,58.9332,1495,2927,1432
28,58.6934,1455,2913,1458
29,63.546,1084.62,2562,1477.38
30,65.39,419.527,907,487.473
31,69.723,29.7646,2204,2174.2354
32,72.61,937,2830,1893
33,74.92159,817,613,
34,78.96,220.5,685,464.5
37,85.4678,39.3,688,648.7
38,87.62,777,1382,605
39,88.90585,1522,3345,1823
40,91.224,1855,4409,2554
41,92.90638,2477,4744,2267
42,95.94,2623,4639,2016
43,96.9063,2170,,
44,101.07,2334,4150,1816
45,102.9055,1964,3695,1731
46,106.42,1554.9,2963,1408.1
47,107.8682,961.78,2162,1200.22
48,112.411,321.069,767,445.931
49,114.818,156.5985,2072,1915.4015
50,118.71,231.928,2602,2370.072
51,121.757,630.63,1587,956.37
52,127.6,450,988,538
55,132.90543,28.44,671,642.56
56,137.327,727,1897,1170
57,138.9055,918,3464,2546
58,140.115,798,3433,2635
59,140.90765,931,3520,2589
60,144.24,1021,3074,2053
61,146.9151,1170,2460,1290
62,150.36,1074,1794,720
63,151.965,822,1527,705
64,157.25,1313,3273,1960
65,158.92534,1356,3230,1874
66,162.5,1412,2567,1155
67,164.93032,1474,2700,1226
68,167.26,1529,2868,1339
69,168.93421,1545,1950,405
70,173.04,819,1196,377
71,174.967,1663,3402,1739
72,178.49,2233,4603,2370
73,180.9479,3017,5458,2441
74,183.84,3422,5555,2133
75,186.207,3186,5596,2410
76,190.23,3033,5012,1979
77,192.22,2446,4428,1982
78,195.08,1768.4,3825,2056.6
79,196.96654,1064.18,2856,1791.82
80,200.59,-38.83,356.73,395.56
81,204.3833,304,1473,1169
82,207.2,327.462,1749,1421.538
83,208.98037,271.4,1564,1292.6
84,208.9824,254,962,708
85,209.9871,302,337,35
87,223.0197,27,677,650
88,226.0254,700,1140,440
89,227.0278,1050,3200,2150
90,232.0381,1750,4788,3038
91,231.0358,1840,,
92,238.0289,1135,4131,2996
93,237.0482,630,,
94,244.0642,640,3228,2588
95,243.0614,994,2607,1613
